File,Lowest Optimal Cost,Number of Runs with the Lowest Optimal Cost,Highest Optimal Cost,Number of Runs with the Highest Optimal Cost,Best Time (seconds),Average Time (seconds),Worst Time (seconds),Standard Deviation of Optimal Cost,Standard Deviation of Time,Average Optimal Cost,Median Optimal Cost,Median Time
vrp-2-1-1,637.0,6,637.0,1,0.0,0.0,0.0,0.0,0.0,637.0,637.0,0.0
vrp-3-1-1,1096.0,6,1096.0,1,0.0001,0.0001,0.0001,0.0,0.0,1096.0,1096.0,0.0001
vrp-3-2-1,1442.0,6,1442.0,1,0.0001,0.0001,0.0001,0.0,0.0,1442.0,1442.0,0.0001
vrp-4-3-3,2241.0,6,2241.0,1,0.0006,0.0007,0.0007,0.0,0.0,2241.0,2241.0,0.0007
vrp-5-4-1,2871.0,6,2871.0,1,0.0051,0.0059,0.0071,0.0,0.0008,2871.0,2871.0,0.0057
vrp-4-1-1,1003.0,6,1003.0,1,0.0001,0.0002,0.0003,0.0,0.0,1003.0,1003.0,0.0002
vrp-6-5-1,1462.0,6,1462.0,1,0.0432,0.0575,0.0799,0.0,0.0114,1462.0,1462.0,0.0549
vrp-4-2-1,1766.0,6,1766.0,1,0.0004,0.0005,0.0006,0.0,0.0001,1766.0,1766.0,0.0005
vrp-7-6-1,2925.0,6,2925.0,1,0.5041,0.5249,0.5628,0.0,0.0195,2925.0,2925.0,0.5211
vrp-8-7-1,3241.0,6,3241.0,1,4.777,5.3018,5.7773,0.0,0.4057,3241.0,3241.0,5.3601
vrp-5-3-1,1943.0,6,1943.0,1,0.0059,0.006,0.006,0.0,0.0,1943.0,1943.0,0.006
vrp-5-1-1,1260.0,6,1260.0,1,0.0009,0.0009,0.0009,0.0,0.0,1260.0,1260.0,0.0009
vrp-10-8-1,4691.0,6,4691.0,1,1340.2807,1374.6141,1394.3114,0.0,17.7948,4691.0,4691.0,1377.0394
vrp-5-2-1,1409.0,6,1409.0,1,0.0025,0.0025,0.0026,0.0,0.0,1409.0,1409.0,0.0025
vrp-6-4-1,1747.0,6,1747.0,1,0.0505,0.0512,0.0521,0.0,0.0006,1747.0,1747.0,0.0512
vrp-6-1-1,1405.0,6,1405.0,1,0.0057,0.0059,0.0061,0.0,0.0001,1405.0,1405.0,0.0059
vrp-7-5-1,1797.0,6,1797.0,1,0.5593,0.566,0.5741,0.0,0.0056,1797.0,1797.0,0.5653
vrp-8-6-1,2005.0,6,2005.0,1,7.1929,7.3594,7.4987,0.0,0.1034,2005.0,2005.0,7.3736
vrp-6-2-1,1320.0,6,1320.0,1,0.0123,0.0139,0.0142,0.0,0.0007,1320.0,1320.0,0.0142
vrp-10-7-1,2964.0,6,2964.0,1,1606.9999,1653.382,1678.1007,0.0,22.82,2964.0,2964.0,1656.9985
vrp-8-5-1,1777.0,6,1777.0,1,6.327,6.394,6.4789,0.0,0.0463,1777.0,1777.0,6.3856
vrp-7-4-1,1079.0,6,1079.0,1,0.359,0.3647,0.3691,0.0,0.0035,1079.0,1079.0,0.3656
vrp-6-3-1,890.0,6,890.0,1,0.0309,0.0312,0.0316,0.0,0.0002,890.0,890.0,0.0312
vrp-8-1-1,762.0,6,762.0,1,0.0227,0.0236,0.0246,0.0,0.0006,762.0,762.0,0.0236
vrp-8-4-1,876.0,6,876.0,1,2.5533,2.5924,2.6548,0.0,0.0353,876.0,876.0,2.5784
vrp-10-6-1,2159.0,6,2159.0,1,1247.9466,1267.3614,1291.4012,0.0,15.237,2159.0,2159.0,1269.3239
vrp-8-3-1,1636.0,6,1636.0,1,2.0053,2.0247,2.0332,0.0,0.0098,1636.0,1636.0,2.0284
vrp-8-2-1,482.0,6,482.0,1,0.1177,0.12,0.1209,0.0,0.0011,482.0,482.0,0.1205
vrp-10-5-1,1609.0,6,1609.0,1,476.5849,484.8464,493.7667,0.0,7.2183,1609.0,1609.0,484.4865
vrp-10-1-1,1523.0,6,1523.0,1,1229.2973,1241.6108,1248.3768,0.0,6.5205,1523.0,1523.0,1244.4501
vrp-10-4-1,1853.0,6,1853.0,1,653.8471,662.6753,671.4617,0.0,5.5375,1853.0,1853.0,662.981
vrp-10-3-1,1179.0,6,1179.0,1,44.3235,45.2894,46.0346,0.0,0.5855,1179.0,1179.0,45.3267
vrp-15-8-1,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
vrp-15-7-1,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
vrp-15-6-1,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
vrp-15-5-1,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
vrp-15-1-1,564.0,6,564.0,1,3392.725,3426.6246,3480.4246,0.0,29.9229,564.0,564.0,3420.692
vrp-15-4-1,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
vrp-15-2-1,T,T,T,T,T,T,T,T,T,T,T,T
vrp-15-3-1,T,T,T,T,T,T,T,T,T,T,T,T
