File,Lowest Optimal Cost,Number of Runs with the Lowest Optimal Cost,Highest Optimal Cost,Number of Runs with the Highest Optimal Cost,Best Time (seconds),Average Time (seconds),Worst Time (seconds),Standard Deviation of Optimal Cost,Standard Deviation of Time,Average Optimal Cost,Median Optimal Cost,Median Time
Filename: vrp-2-1-1,637.0,6,637.0,1,9.0368,9.4568,9.9533,0.0,0.3434,637.0,637.0,9.4634
Filename: vrp-3-1-1,1096.0,6,1096.0,1,51.9174,53.7953,55.9595,0.0,1.6798,1096.0,1096.0,53.7235
Filename: vrp-3-2-1,1442.0,6,1442.0,1,50.2398,52.3134,54.1024,0.0,1.5605,1442.0,1442.0,52.3507
Filename: vrp-4-3-3,2337.0,6,2337.0,1,6608.7774,6645.0226,6672.2721,0.0,24.8904,2337.0,2337.0,6647.673
Filename: vrp-5-4-1,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
Filename: vrp-4-1-1,1121.0,6,1121.0,1,6957.8015,7023.4335,7078.6253,0.0,38.8989,1121.0,1121.0,7019.3934
Filename: vrp-6-5-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-4-2-1,1580.0,6,1580.0,1,6277.3285,6378.0725,6443.0287,0.0,51.2725,1580.0,1580.0,6385.5122
Filename: vrp-7-6-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-8-7-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-5-3-1,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
Filename: vrp-5-1-1,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
Filename: vrp-10-8-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-5-2-1,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
Filename: vrp-6-4-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-6-1-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-7-5-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-8-6-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-6-2-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-10-7-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-8-5-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-7-4-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-6-3-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-8-1-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-8-4-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-10-6-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-8-3-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-8-2-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-10-5-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-10-1-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-10-4-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-10-3-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-15-8-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-15-7-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-15-6-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-15-5-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-15-1-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-15-4-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-15-2-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-15-3-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
