File,Lowest Optimal Cost,Number of Runs with the Lowest Optimal Cost,Highest Optimal Cost,Number of Runs with the Highest Optimal Cost,Best Time (seconds),Average Time (seconds),Worst Time (seconds),Standard Deviation of Optimal Cost,Standard Deviation of Time,Average Optimal Cost,Median Optimal Cost,Median Time
Filename: vrp-2-1-1,637.0,6,637.0,1,20.2237,21.0713,22.2761,0.0,0.7653,637.0,637.0,21.024
Filename: vrp-3-1-1,1096.0,6,1096.0,1,113.9934,117.8591,122.6308,0.0,3.4134,1096.0,1096.0,117.7206
Filename: vrp-3-2-1,1442.0,6,1442.0,1,113.474,118.81,126.0478,0.0,4.8201,1442.0,1442.0,117.9082
Filename: vrp-4-3-3,2317.0,6,2317.0,1,14550.1156,14669.9708,14819.5857,0.0,100.7905,2317.0,2317.0,14636.7884
Filename: vrp-5-4-1,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
Filename: vrp-4-1-1,693.0,6,693.0,1,14646.5182,14698.8419,14765.4618,0.0,40.0098,693.0,693.0,14691.2351
Filename: vrp-6-5-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-4-2-1,1766.0,6,1766.0,1,14543.7797,14689.0642,14832.6404,0.0,90.3534,1766.0,1766.0,14670.4709
Filename: vrp-7-6-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-8-7-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-5-3-1,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
Filename: vrp-5-1-1,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
Filename: vrp-10-8-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-5-2-1,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
Filename: vrp-6-4-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-6-1-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-7-5-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-8-6-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-6-2-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-10-7-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-8-5-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-7-4-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-6-3-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-8-1-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-8-4-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-10-6-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-8-3-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-8-2-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-10-5-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-10-1-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-10-4-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-10-3-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-15-8-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-15-7-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-15-6-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-15-5-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-15-1-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-15-4-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-15-2-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-15-3-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
