File,Lowest Optimal Cost,Number of Runs with the Lowest Optimal Cost,Highest Optimal Cost,Number of Runs with the Highest Optimal Cost,Best Time (seconds),Average Time (seconds),Worst Time (seconds),Standard Deviation of Optimal Cost,Standard Deviation of Time,Average Optimal Cost,Median Optimal Cost,Median Time
Filename: vrp-2-1-1,1036.0,6,1036.0,1,3.115,3.362,3.5125,0.0,0.1242,1036.0,1036.0,3.3861
Filename: vrp-3-1-1,1190.0,6,1190.0,1,115.9628,119.4908,121.8074,0.0,2.2354,1190.0,1190.0,120.0987
Filename: vrp-3-2-1,1442.0,6,1442.0,1,113.8195,117.4093,120.4665,0.0,2.3107,1442.0,1442.0,117.1564
Filename: vrp-4-3-3,T,T,T,T,T,T,T,T,T,T,T,T
Filename: vrp-5-4-1,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
Filename: vrp-4-1-1,T,T,T,T,T,T,T,T,T,T,T,T
Filename: vrp-6-5-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-4-2-1,T,T,T,T,T,T,T,T,T,T,T,T
Filename: vrp-7-6-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-8-7-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-5-3-1,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
Filename: vrp-5-1-1,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
Filename: vrp-10-8-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-5-2-1,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
Filename: vrp-6-4-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-6-1-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-7-5-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-8-6-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-6-2-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-10-7-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-8-5-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-7-4-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-6-3-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-8-1-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-8-4-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-10-6-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-8-3-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-8-2-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-10-5-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-10-1-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-10-4-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-10-3-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-15-8-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-15-7-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-15-6-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-15-5-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-15-1-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-15-4-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-15-2-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-15-3-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
