File,Lowest Optimal Cost,Number of Runs with the Lowest Optimal Cost,Highest Optimal Cost,Number of Runs with the Highest Optimal Cost,Best Time (seconds),Average Time (seconds),Worst Time (seconds),Standard Deviation of Optimal Cost,Standard Deviation of Time,Average Optimal Cost,Median Optimal Cost,Median Time
Filename: vrp-2-1-1,637.0,6,637.0,1,1.2393,1.3564,1.4335,0.0,0.072,637.0,637.0,1.3675
Filename: vrp-3-1-1,1096.0,6,1096.0,1,36.6122,37.4777,38.6223,0.0,0.8452,1096.0,1096.0,37.3788
Filename: vrp-3-2-1,1442.0,6,1442.0,1,33.2056,35.35,36.7313,0.0,1.2971,1442.0,1442.0,35.5245
Filename: vrp-4-3-3,2407.0,6,2407.0,1,11483.2437,11867.5319,12106.1437,0.0,236.1879,2407.0,2407.0,11952.755
Filename: vrp-5-4-1,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
Filename: vrp-4-1-1,1003.0,6,1003.0,1,11631.9245,12003.0122,12231.6174,0.0,243.8435,1003.0,1003.0,12113.9855
Filename: vrp-6-5-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-4-2-1,1580.0,6,1580.0,1,11456.3044,11889.2236,12084.2782,0.0,233.4198,1580.0,1580.0,12014.1801
Filename: vrp-7-6-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-8-7-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-5-3-1,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
Filename: vrp-5-1-1,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
Filename: vrp-10-8-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-5-2-1,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
Filename: vrp-6-4-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-6-1-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-7-5-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-8-6-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-6-2-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-10-7-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-8-5-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-7-4-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-6-3-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-8-1-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-8-4-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-10-6-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-8-3-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-8-2-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-10-5-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-10-1-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-10-4-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-10-3-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-15-8-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-15-7-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-15-6-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-15-5-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-15-1-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-15-4-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-15-2-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
Filename: vrp-15-3-1,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL,QL
